region_cd,region_nm,research_date,buy_dom_indices,level_no
42000,강원,20230710,86.3301787592008,0
41000,경기,20230710,87.681323662738,0
48000,경남,20230710,88.958243650452,0
41A02,경부1권,20230710,92.2673198040588,1
41A03,경부2권,20230710,93.3946488294314,1
47000,경북,20230710,91.8170103092784,0
41A05,경원권,20230710,83.4548104956268,1
41A04,경의권,20230710,72.7069351230425,1
29000,광주,20230710,91.3807531380753,0
27000,대구,20230710,79.020979020979,0
30000,대전,20230710,78.2794676806084,0
11A11,도심권,20230710,87.9478827361564,2
11A15,동남권,20230710,89.275893675527,2
41A06,동부1권,20230710,85.3932584269663,1
41A07,동부2권,20230710,89.1949152542373,1
26A01,동부산권,20230710,84.8659003831418,1
11A12,동북권,20230710,87.0018975332068,2
26000,부산,20230710,83.0314960629921,0
11A14,서남권,20230710,84.6478873239437,2
26A03,서부산권,20230710,78.1292984869326,1
11A13,서북권,20230710,83.9186691312384,2
11000,서울,20230710,86.5485829959514,0
41A01,서해안권,20230710,91.0979228486647,1
36000,세종,20230710,98.780487804878,0
A2000,수도권,20230710,87.2982589909772,0
31000,울산,20230710,76.3521288837744,0
28000,인천,20230710,87.4620060790273,0
A1000,전국,20230710,86.6671732522796,0
46000,전남,20230710,84.8194130925508,0
45000,전북,20230710,80.9651474530831,0
50000,제주,20230710,80.6763285024155,0
26A02,중부산권,20230710,85.0970873786408,1
A2001,지방권,20230710,86.0884512294604,0
44000,충남,20230710,95.5710102489019,0
43000,충북,20230710,91.1153119092628,0
A5000,5대광역시,20230703,81.5246880086815,0
A3000,6대광역시,20230703,82.8054782794779,0
A6000,8개도,20230703,88.6440498837455,0
A9000,9개도,20230703,87.9962813081046,0
11A02,강남지역,20230703,86.3401035444046,1
11A01,강북지역,20230703,84.9320708110333,1
42000,강원,20230703,84.8580441640379,0
41000,경기,20230703,87.3016772438803,0
48000,경남,20230703,88.6138613861386,0
41A02,경부1권,20230703,92.3372988103569,1
41A03,경부2권,20230703,92.3076923076923,1
47000,경북,20230703,91.5914948453608,0
41A05,경원권,20230703,83.3819241982507,1
41A04,경의권,20230703,71.2155108128263,1
29000,광주,20230703,89.8326359832636,0
27000,대구,20230703,78.5547785547785,0
30000,대전,20230703,77.851711026616,0
11A11,도심권,20230703,86.156351791531,2
11A15,동남권,20230703,89.5050412465628,2
41A06,동부1권,20230703,85.4954034729316,1
41A07,동부2권,20230703,88.3474576271187,1
26A01,동부산권,20230703,84.2273307790549,1
11A12,동북권,20230703,87.0651486401012,2
26000,부산,20230703,82.7952755905512,0
11A14,서남권,20230703,83.9084507042254,2
26A03,서부산권,20230703,77.0976616231087,1
11A13,서북권,20230703,78.003696857671,2
11000,서울,20230703,85.6477732793522,0
41A01,서해안권,20230703,91.3734633319203,1
36000,세종,20230703,99.0853658536585,0
A2000,수도권,20230703,86.8185284025924,0
31000,울산,20230703,76.6973532796318,0
28000,인천,20230703,87.5886524822695,0
A1000,전국,20230703,86.2796352583587,0
46000,전남,20230703,84.9887133182844,0
45000,전북,20230703,80.6076854334227,0
50000,제주,20230703,80.1932367149759,0
26A02,중부산권,20230703,85.7281553398058,1
A2001,지방권,20230703,85.7854562405314,0
44000,충남,20230703,96.1932650073206,0
43000,충북,20230703,91.2570888468809,0
A5000,5대광역시,20230626,82.1486706456864,0
A3000,6대광역시,20230626,83.2548683928954,0
A6000,8개도,20230626,89.0667934897485,0
A9000,9개도,20230626,87.9826096467243,0
11A02,강남지역,20230626,85.84229390681,1
11A01,강북지역,20230626,84.890901605599,1
42000,강원,20230626,84.7003154574133,0
41000,경기,20230626,86.8200362647326,0
48000,경남,20230626,88.5277658200603,0
41A02,경부1권,20230626,90.7277816655004,1
41A03,경부2권,20230626,93.0323299888517,1
47000,경북,20230626,91.9780927835051,0
41A05,경원권,20230626,82.7259475218659,1
41A04,경의권,20230626,71.7747949291574,1
29000,광주,20230626,90.4602510460251,0
27000,대구,20230626,79.8076923076923,0
30000,대전,20230626,77.8041825095057,0
11A11,도심권,20230626,85.9934853420196,2
11A15,동남권,20230626,89.5508707607699,2
41A06,동부1권,20230626,84.9846782431052,1
41A07,동부2권,20230626,85.5932203389831,1
26A01,동부산권,20230626,84.418901660281,1
11A12,동북권,20230626,86.9070208728653,2
26000,부산,20230626,83.503937007874,0
11A14,서남권,20230626,82.9929577464789,2
26A03,서부산권,20230626,77.9229711141678,1
11A13,서북권,20230626,78.373382624769,2
11000,서울,20230626,85.3744939271255,0
41A01,서해안권,20230626,90.3560830860534,1
36000,세종,20230626,98.4756097560976,0
A2000,수도권,20230626,86.4372855508959,0
31000,울산,20230626,76.6398158803222,0
28000,인천,20230626,87.3860182370821,0
A1000,전국,20230626,86.3525835866261,0
46000,전남,20230626,85.8352144469526,0
45000,전북,20230626,82.573726541555,0
50000,제주,20230626,81.6425120772947,0
26A02,중부산권,20230626,86.747572815534,1
A2001,지방권,20230626,86.274909684186,0
44000,충남,20230626,96.8521229868228,0
43000,충북,20230626,90.8790170132325,0
A5000,5대광역시,20230619,82.3996201844818,0
A3000,6대광역시,20230619,83.3083672159213,0
A6000,8개도,20230619,89.3310082435003,0
A9000,9개도,20230619,87.7255824127748,0
11A02,강남지역,20230619,84.8864994026284,1
11A01,강북지역,20230619,84.7879785920132,1
42000,강원,20230619,84.8054679284963,0
41000,경기,20230619,86.0040797824116,0
48000,경남,20230619,90.0344382264313,0
41A02,경부1권,20230619,88.0685794261721,1
41A03,경부2권,20230619,92.1683389074693,1
47000,경북,20230619,93.4600515463918,0
41A05,경원권,20230619,81.8513119533528,1
41A04,경의권,20230619,71.1782252050709,1
29000,광주,20230619,86.9456066945607,0
27000,대구,20230619,81.3228438228438,0
30000,대전,20230619,77.8992395437262,0
11A11,도심권,20230619,84.527687296417,2
11A15,동남권,20230619,89.0467461044913,2
41A06,동부1권,20230619,84.0653728294178,1
41A07,동부2권,20230619,84.5338983050847,1
26A01,동부산권,20230619,84.7381864623244,1
11A12,동북권,20230619,87.0651486401012,2
26000,부산,20230619,84.7047244094488,0
11A14,서남권,20230619,81.6901408450704,2
26A03,서부산권,20230619,79.7111416781293,1
11A13,서북권,20230619,78.2809611829944,2
11000,서울,20230619,84.8380566801619,0
41A01,서해안권,20230619,90.6528189910979,1
36000,세종,20230619,98.1707317073171,0
A2000,수도권,20230619,85.7256322277291,0
31000,울산,20230619,76.9850402761795,0
28000,인천,20230619,86.7021276595745,0
A1000,전국,20230619,86.1413373860182,0
46000,전남,20230619,86.6817155756208,0
45000,전북,20230619,80.6076854334227,0
50000,제주,20230619,79.2270531400966,0
26A02,중부산권,20230619,88.2038834951456,1
A2001,지방권,20230619,86.5225498193684,0
44000,충남,20230619,95.5710102489019,0
43000,충북,20230619,91.1625708884688,0
A5000,5대광역시,20230612,82.8540423223006,0
A3000,6대광역시,20230612,83.6454098009844,0
A6000,8개도,20230612,89.6903403086028,0
A9000,9개도,20230612,87.6298807831128,0
11A02,강남지역,20230612,84.1298287534847,1
