region_cd,region_nm,research_date,apt_type,price_gbn,rate,level_no
27110,중구,202305,1,A,62.60575647038963,1
11290,성북구,202305,1,A,58.00042244816724,3
47000,경북,202305,0,A,64.53285072014677,0
41A02,경부1권,202305,0,A,57.444165186899646,1
48000,경남,202306,3,A,66.7303462400309,0
48330,양산시,202306,1,A,69.05950418400029,1
28000,인천,202306,0,A,64.76966654084976,0
41A06,동부1권,202306,7,A,47.53048316009224,1
48220,통영시,202306,1,A,73.72941796305513,1
30000,대전,202306,1,A,68.71454029786435,0
41A01,서해안권,202306,0,A,61.54728137888156,1
11650,서초구,202306,1,A,49.47700651247911,3
48310,거제시,202306,1,A,70.95919065852078,1
27000,대구,202306,3,A,62.4236088863004,0
48000,경남,202306,1,A,75.95091945687373,0
41610,광주시,202306,1,A,67.06166254694756,2
43000,충북,202306,1,A,77.43167673176914,0
11215,광진구,202306,1,A,53.920479648421484,3
11A13,서북권,202306,3,A,69.460422917953,2
26320,북구,202306,1,A,70.17911038966467,2
11230,동대문구,202306,1,A,58.01137127478838,3
41500,이천시,202306,1,A,83.43729607397698,2
26000,부산,202306,3,A,62.92393115824487,0
11350,노원구,202306,1,A,48.60235540654993,3
A2001,지방권,202306,0,A,65.09133929215267,0
45000,전북,202306,1,A,78.18403321224366,0
26380,사하구,202306,1,A,69.3054279709243,2
50000,제주,202302,3,M,65.24822695035462,0
A5000,5대광역시,202302,1,M,69.66655057037774,0
41000,경기,202302,0,M,62.46249316316944,0
28110,중구,202302,1,M,60.60353854001664,1
47130,경주시,202302,1,M,77.41401478624238,1
43000,충북,202302,7,M,46.306306306306304,0
26170,동구,202302,1,M,66.00075922938218,2
11A13,서북권,202302,1,M,54.67851815431527,2
11530,구로구,202302,1,M,57.542565218858634,3
11A02,강남지역,202302,7,M,44.33211406489921,1
41A01,서해안권,202302,7,M,49.042097704970345,1
41271,상록구,202302,1,M,58.96028826664666,3
41461,처인구,202302,1,M,70.56892778993435,3
28000,인천,202302,0,M,65.21191620428863,0
47000,경북,202302,7,M,42.5531914893617,0
41500,이천시,202302,1,M,88.23529411764706,2
48129,진해구,202302,1,M,75.33039647577093,2
48127,마산회원구,202302,1,M,85.98268302159072,2
44133,서북구,202302,1,M,80.71247280638143,2
41273,단원구,202305,1,A,56.65821654440638,3
48000,경남,202305,0,M,67.37310154496,0
31110,중구,202305,1,M,70.86956521739131,1
11A02,강남지역,202305,0,M,56.58061557625081,1
26A02,중부산권,202305,1,M,63.39005550017883,1
26380,사하구,202305,1,M,70.49180327868852,2
26230,부산진구,202305,1,M,68.77097315436241,2
30140,중구,202305,1,M,68.57142857142857,1
47170,안동시,202305,1,M,75.88046958377801,1
41450,하남시,202305,1,M,56.71925641502034,2
A1000,전국,202305,0,M,63.14186869683497,0
29000,광주,202305,1,M,75.70183574402336,0
11A14,서남권,202305,0,M,57.890501931753256,2
28185,연수구,202305,1,M,57.19368755676657,1
11215,광진구,202305,1,M,50.503202195791395,3
26A02,중부산권,202305,0,M,60.44857005195308,1
41610,광주시,202305,1,M,67.81718692842335,2
48120,창원시,202305,1,M,78.8853388698226,1
11A01,강북지역,202305,7,M,44.89442089494184,1
41171,만안구,202305,1,M,62.83018867924528,3
26710,기장군,202305,1,M,68.79150066401063,2
42110,춘천시,202306,1,A,81.8207850801027,1
