region_cd,region_nm,research_date,apt_type,age_gbn,tr_gbn,indices,level_no
41A04,경의권,202306,1,11,S,84.49861814526729,1
41A05,경원권,202306,1,11,S,80.43421979714559,1
41A06,동부1권,202306,1,11,S,82.46698940280952,1
41A07,동부2권,202306,1,11,S,95.6192549651585,1
42000,강원,202306,1,11,S,97.67014408857695,0
43000,충북,202306,1,11,S,89.88537205406537,0
44000,충남,202306,1,11,S,92.40013699353892,0
45000,전북,202306,1,11,S,90.6715866077882,0
46000,전남,202306,1,11,S,92.7322051663981,0
47000,경북,202306,1,11,S,92.3126213203694,0
48000,경남,202306,1,11,S,92.19609549751608,0
50000,제주,202306,1,11,S,99.43521264966962,0
A1000,전국,202306,1,11,S,87.17325957362002,0
A2000,수도권,202306,1,11,S,86.13557771926573,0
A2001,지방권,202306,1,11,S,88.01036425834542,0
A3000,6대광역시,202306,1,11,S,83.94643392219741,0
A5000,5대광역시,202306,1,11,S,83.20030987280383,0
A6000,8개도,202306,1,11,S,92.58084995080019,0
A9000,9개도,202306,1,11,S,88.54975623193116,0
11000,서울,202306,1,12,D,85.09206161939022,0
11A01,강북지역,202306,1,12,D,84.73070540729057,1
11A02,강남지역,202306,1,12,D,85.65285456250085,1
11A11,도심권,202306,1,12,D,87.63550732444564,2
11A12,동북권,202306,1,12,D,84.59300286174592,2
11A13,서북권,202306,1,12,D,84.11254539272618,2
11A14,서남권,202306,1,12,D,85.94289480307737,2
11A15,동남권,202306,1,12,D,85.27642859390897,2
26000,부산,202306,1,12,D,84.10621330006978,0
26A01,동부산권,202306,1,12,D,82.97181035810524,1
26A02,중부산권,202306,1,12,D,83.11247192799158,1
26A03,서부산권,202306,1,12,D,86.11748243007325,1
27000,대구,202306,1,12,D,70.82210943432615,0
28000,인천,202306,1,12,D,77.18363563489471,0
29000,광주,202306,1,12,D,88.32598790819397,0
30000,대전,202306,1,12,D,79.14097256117658,0
31000,울산,202306,1,12,D,79.68025879272246,0
36000,세종,202306,1,12,D,70.89907943497161,0
41000,경기,202306,1,12,D,82.99134185921974,0
41A01,서해안권,202306,1,12,D,84.57042226572294,1
41A02,경부1권,202306,1,12,D,89.87986949838115,1
41A03,경부2권,202306,1,12,D,82.01220391068122,1
41A04,경의권,202306,1,12,D,79.83384468277067,1
41A05,경원권,202306,1,12,D,84.00692305972342,1
41A06,동부1권,202306,1,12,D,82.77658957661671,1
41A07,동부2권,202306,1,12,D,98.20669355732598,1
42000,강원,202306,1,12,D,92.42762017281183,0
43000,충북,202306,1,12,D,93.16232971340854,0
44000,충남,202306,1,12,D,89.851283634767,0
45000,전북,202306,1,12,D,90.54180937400042,0
46000,전남,202306,1,12,D,85.96820669404951,0
47000,경북,202306,1,12,D,94.39565958041717,0
48000,경남,202306,1,12,D,92.63807416151757,0
50000,제주,202306,1,12,D,102.99666401353528,0
A1000,전국,202306,1,12,D,84.04676843177758,0
A2000,수도권,202306,1,12,D,82.48123682860492,0
A2001,지방권,202306,1,12,D,85.55842546296631,0
A3000,6대광역시,202306,1,12,D,79.52581764730525,0
A5000,5대광역시,202306,1,12,D,80.57009759424824,0
A6000,8개도,202306,1,12,D,91.75873927798081,0
A9000,9개도,202306,1,12,D,87.25998355192009,0
11000,서울,202306,1,12,R,100.70919623781293,0
11A01,강북지역,202306,1,12,R,101.18244052639467,1
11A02,강남지역,202306,1,12,R,100.40425956484165,1
11A11,도심권,202306,1,12,R,101.99475271605773,2
11A12,동북권,202306,1,12,R,99.93625972640847,2
11A13,서북권,202306,1,12,R,102.85548662063478,2
11A14,서남권,202306,1,12,R,100.05982200345996,2
11A15,동남권,202306,1,12,R,100.82736164950553,2
26000,부산,202306,1,12,R,101.63188286945459,0
26A01,동부산권,202306,1,12,R,99.95304513517922,1
26A02,중부산권,202306,1,12,R,101.2396038199526,1
26A03,서부산권,202306,1,12,R,103.95174190167582,1
27000,대구,202306,1,12,R,89.93879077938954,0
28000,인천,202306,1,12,R,100.81851322718673,0
29000,광주,202306,1,12,R,99.59579937128674,0
30000,대전,202306,1,12,R,98.69308932745098,0
31000,울산,202306,1,12,R,107.78006748027663,0
36000,세종,202306,1,12,R,91.64363077415732,0
41000,경기,202306,1,12,R,101.28600848731944,0
41A01,서해안권,202306,1,12,R,103.88295386527146,1
41A02,경부1권,202306,1,12,R,101.68207253344093,1
41A03,경부2권,202306,1,12,R,102.05707570018681,1
41A04,경의권,202306,1,12,R,99.57608046104434,1
41A05,경원권,202306,1,12,R,95.18841309084532,1
41A06,동부1권,202306,1,12,R,101.6320683965705,1
41A07,동부2권,202306,1,12,R,100.78576002285271,1
42000,강원,202306,1,12,R,102.51927795984244,0
43000,충북,202306,1,12,R,105.61919110970496,0
44000,충남,202306,1,12,R,101.69557328536648,0
45000,전북,202306,1,12,R,101.54071299420926,0
46000,전남,202306,1,12,R,97.81455039411252,0
47000,경북,202306,1,12,R,104.86307235290028,0
48000,경남,202306,1,12,R,103.8967098014282,0
50000,제주,202306,1,12,R,106.33341411503632,0
A1000,전국,202306,1,12,R,100.94869197229524,0
A2000,수도권,202306,1,12,R,101.03728087041131,0
A2001,지방권,202306,1,12,R,100.74702381148374,0
A3000,6대광역시,202306,1,12,R,99.84737672262422,0
A5000,5대광역시,202306,1,12,R,99.45578685428717,0
A6000,8개도,202306,1,12,R,102.77196296116277,0
A9000,9개도,202306,1,12,R,102.10410581788699,0
11000,서울,202306,1,12,S,93.25853923413324,0
11A01,강북지역,202306,1,12,S,90.75806547888651,1
11A02,강남지역,202306,1,12,S,95.82443499413458,1
11A11,도심권,202306,1,12,S,92.60292419123193,2
11A12,동북권,202306,1,12,S,90.29721322168864,2
11A13,서북권,202306,1,12,S,90.70331264470862,2
11A14,서남권,202306,1,12,S,93.73159947982462,2
11A15,동남권,202306,1,12,S,98.07945617584686,2
26000,부산,202306,1,12,S,90.20070234896683,0
26A01,동부산권,202306,1,12,S,90.07319298673045,1
26A02,중부산권,202306,1,12,S,88.86205673687688,1
26A03,서부산권,202306,1,12,S,91.46269068709053,1
27000,대구,202306,1,12,S,79.42311720207167,0
28000,인천,202306,1,12,S,90.83743009167696,0
29000,광주,202306,1,12,S,94.2614480981828,0
30000,대전,202306,1,12,S,83.10834740366474,0
31000,울산,202306,1,12,S,84.62264586007852,0
36000,세종,202306,1,12,S,74.7014060174548,0
41000,경기,202306,1,12,S,90.85793705409256,0
41A01,서해안권,202306,1,12,S,95.05449661605275,1
41A02,경부1권,202306,1,12,S,92.25993681492997,1
41A03,경부2권,202306,1,12,S,92.13418377128592,1
41A04,경의권,202306,1,12,S,87.17161149587253,1
41A05,경원권,202306,1,12,S,90.2299209939888,1
41A06,동부1권,202306,1,12,S,88.20031222822064,1
41A07,동부2권,202306,1,12,S,98.13214218379905,1
42000,강원,202306,1,12,S,97.53589627260594,0
43000,충북,202306,1,12,S,92.29414585683558,0
44000,충남,202306,1,12,S,94.1276946447441,0
45000,전북,202306,1,12,S,93.35461026534344,0
46000,전남,202306,1,12,S,90.54342646595856,0
47000,경북,202306,1,12,S,95.06096651215599,0
48000,경남,202306,1,12,S,94.25670950438,0
50000,제주,202306,1,12,S,100.73090853544463,0
A1000,전국,202306,1,12,S,90.48625508743166,0
A2000,수도권,202306,1,12,S,91.46016178232627,0
A2001,지방권,202306,1,12,S,89.67989346074097,0
A3000,6대광역시,202306,1,12,S,87.56708627484086,0
A5000,5대광역시,202306,1,12,S,86.58284638238828,0
A6000,8개도,202306,1,12,S,94.11938168389355,0
A9000,9개도,202306,1,12,S,92.48084754789929,0
11000,서울,202306,1,13,D,86.03031369324417,0
11A01,강북지역,202306,1,13,D,86.13794602356307,1
11A02,강남지역,202306,1,13,D,86.09108196048027,1
11A11,도심권,202306,1,13,D,87.53754084576572,2
11A12,동북권,202306,1,13,D,85.42628944536982,2
11A13,서북권,202306,1,13,D,87.21312125868081,2
11A14,서남권,202306,1,13,D,85.26850806208445,2
11A15,동남권,202306,1,13,D,86.29991220131114,2
