region_cd,region_nm,research_date,apt_type,tr_gbn,bunwi1,bunwi2,bunwi3,bunwi4,bunwi5,rate,level_no
A1000,전국,202212,1,D,73012.18571428572,155362.45714285714,234319.07142857142,331868.85714285716,630714.0714285715,8.638476786555982,0
11000,서울,202212,1,D,229899.03846153847,385522.1153846154,494512.00768491835,641382.6923076923,1099118.1556195966,4.780873217107763,0
11000,서울,202208,1,S,442055,733543.2692307692,962801.1527377522,1312332.6923076923,2256439.9615754085,5.104432619414798,0
11000,서울,202210,1,S,433212.4038461539,718644.2307692308,940738.7127761767,1286552.8846153845,2220441.8828049954,5.125527023444919,0
A1000,전국,202210,1,S,100585.54285714286,218048.77142857143,363465.7,578151.5714285715,1215283,12.082084218862466,0
A1000,전국,202207,0,S,74882.64565735326,175277.5698505523,310213.1037470219,529693.2207060863,1170946.523716699,15.637088052079466,0
11000,서울,202211,1,S,423800.67307692306,703533.6538461539,919716.618635927,1259775,2183143.131604227,5.151344182051287,0
11000,서울,202211,0,S,218889.28332217011,488124.7823174816,757632.217012726,1090507.032819826,2015881.9946452477,9.209596578002364,0
A1000,전국,202212,0,S,73675.13645224171,169100.28156811782,291007.16915746155,481982.27203812,1083938.9646956897,14.712412041453488,0
11000,서울,202208,1,D,247611.82692307694,426955.76923076925,554292.9875120077,715138.4615384615,1209367.915465898,4.884128236094313,0
11000,서울,202209,1,S,438411.82692307694,727887.5,954173.8712776176,1302677.8846153845,2244444.764649376,5.119489545712422,0
11000,서울,202209,0,D,149973.40924313464,291985.13060951105,452116.5438713999,626290.6898861353,1100751.6064257028,7.339645154303192,0
A1000,전국,202211,1,S,99610.74285714286,214725.45714285714,355055.3142857143,561919.2857142857,1187884.142857143,11.925261360220471,0
A1000,전국,202209,1,D,74359.74285714286,163128.24285714285,257184,369392.0714285714,694777.2714285714,9.343459844439636,0
A1000,전국,202209,0,S,74890.02165908599,174557.37491877843,306877.64782326185,520172.590426684,1155196.0147281785,15.425232749789505,0
A1000,전국,202209,1,S,100983.7,219944.51428571428,368806.9857142857,588420.0714285715,1232659.4285714286,12.206518760665618,0
11000,서울,202210,1,D,244308.17307692306,418104.8076923077,541332.3727185399,698770.1923076923,1181716.618635927,4.836991754114795,0
11000,서울,202207,1,S,444178.8461538461,737882.6923076923,967762.7281460135,1318498.076923077,2261358.3093179637,5.091098616917741,0
A1000,전국,202211,1,D,73841.84285714285,159506.67142857143,244847.42857142858,349063.0714285714,662578.1428571428,8.972936173044745,0
11000,서울,202212,0,D,145321.03148024113,277406.898861353,413484.2598794374,568202.6121902211,1014176.3721552878,6.978868521816007,0
A1000,전국,202208,0,S,74935.4754169374,175074.24734676196,308949.8700454841,525629.4780160277,1164773.3160060646,15.543683542745564,0
11000,서울,202202,1,D,248216.63461538462,428324.03846153844,559219.9807877041,720394.2307692308,1211477.4255523535,4.880726174656085,0
11000,서울,202204,1,S,445877.4038461539,740746.1538461539,972517.7713736792,1323503.8461538462,2268530.259365994,5.087789243853969,0
11000,서울,202206,1,S,445285.3846153846,739887.5,970510.0864553314,1322290.3846153845,2262197.8866474545,5.0803326693541235,0
11000,서울,202205,0,S,221235.83389149365,506775.5525787006,793659.0756865372,1144579.3703951775,2083115.796519411,9.415815511790404,0
11000,서울,202205,1,S,445720.67307692306,740321.1538461539,972002.8818443804,1323478.8461538462,2261615.7540826127,5.07406519529396,0
11000,서울,202205,1,D,248183.75,428052.4038461539,557941.4024975984,719590.3846153846,1212638.8088376562,4.886052406080802,0
11000,서울,202202,0,D,150253.58338914937,293794.17280643,457367.04621567315,636584.7287340924,1110669.344042838,7.391965762082753,0
11000,서울,202201,0,D,150127.12659075687,294151.841929002,457987.27394507703,637390.488948426,1111222.2222222222,7.4018749806048625,0
11000,서울,202203,1,D,248168.36538461538,427789.9038461539,558610.9510086456,718656.7307692308,1210999.0393852065,4.8797478176091476,0
A1000,전국,202203,1,D,73435.9857142857,162607.87142857144,263824.64285714284,384055.64285714284,708542.2857142857,9.648434331241653,0
11000,서울,202204,1,D,248127.11538461538,427751.4423076923,557921.2295869356,718124.0384615385,1210224.7838616716,4.877438654722333,0
A1000,전국,202204,1,D,73631.5,163001.35714285713,263690.17142857146,382867.21428571426,707135.2857142857,9.603706100164816,0
11000,서울,202205,0,D,150297.75619557936,293552.5787006028,456760.2143335566,634982.2505023442,1111497.3226238287,7.395302170562415,0
11000,서울,202203,0,D,150144.34025452108,293627.9303415941,456726.3898191561,635233.0877427998,1109868.8085676038,7.392012290880768,0
A1000,전국,202204,1,S,100638.58571428571,221368.35714285713,376902.78571428574,608102.4285714285,1258125.7142857143,12.501424829811798,0
A1000,전국,202206,0,S,74797.5828460039,175205.89993502275,310505.76131687243,531703.3788174139,1173499.1661251895,15.688998514046023,0
A1000,전국,202202,1,D,73235.53285714285,162184.07142857142,264121.72857142857,385696.71428571426,710196.2857142857,9.69742771039343,0
11000,서울,202202,1,S,446244.51923076925,741993.2692307692,973911.6234390009,1324936.5384615385,2266219.9807877042,5.078426475005645,0
11000,서울,202201,1,S,446614.71153846156,742748.0769230769,974825.1681075889,1325797.1153846155,2267717.5792507203,5.0775702650704755,0
A1000,전국,202203,1,S,100347.14285714286,220979.2857142857,377016.5714285714,609633.4285714285,1259125.142857143,12.547693008556013,0
11000,서울,202206,0,D,150230.60951105156,293552.10984594777,456340.25452109845,634552.5787006029,1111574.2971887551,7.399119931727251,0
A1000,전국,202205,1,S,100914.82857142857,221602.67142857143,376444.71428571426,606187,1255776.2857142857,12.443922300531225,0
A1000,전국,202202,0,D,48298.92895819796,120689.66211825861,214503.6874593892,342745.59237600176,664861.3818496859,13.765551249078712,0
A1000,전국,202201,0,D,48241.72947801603,120461.53238033355,214339.98808750272,343396.3287849253,666100.7147498375,13.807562911967793,0
11000,서울,202201,1,D,248366.63461538462,428804.8076923077,560090.297790586,721329.8076923077,1212138.3285302594,4.880439477739639,0
11000,서울,202203,1,S,446042.4038461539,741105.7692307692,972994.2363112392,1323714.423076923,2265969.260326609,5.08016556450129,0
A1000,전국,202203,0,D,48361.179337231966,121005.76889755252,214586.7825427767,341616.13601906,663217.3164392463,13.713836708044322,0
11000,서울,202203,0,S,221275.6865371735,506463.8312123242,793693.7709310114,1144758.2049564635,2085113.1191432397,9.42314608429855,0
A1000,전국,202206,1,D,74066.71428571429,163710.95714285714,262851.7428571429,379689.4285714286,706098.4285714285,9.5332759847782,0
11000,서울,202206,1,D,248102.98076923078,428032.21153846156,557404.4188280499,719187.5,1212578.2901056677,4.887399120905883,0
A1000,전국,202206,1,S,101109.02857142857,221841.35714285713,375707.35714285716,604108,1254028.2857142857,12.402733004485116,0
A1000,전국,202201,1,D,73108.76142857142,161840.92857142858,264203.5714285714,386760.4285714286,711459,9.73151488409646,0
11000,서울,202204,0,S,221247.01942397858,506662.29068988614,793769.5914266577,1144521.0984594775,2087537.483266399,9.435324772742016,0
11000,서울,202206,0,S,221318.8211654387,506539.5847287341,793135.2310783657,1143342.2638981915,2083738.2864792503,9.415097529918745,0
A1000,전국,202205,0,S,74618.97931557288,175034.5622698722,310630.9833225038,533144.8559670782,1175084.1888672297,15.747792312967102,0
11000,서울,202202,0,S,221426.52377762893,506601.8084393838,794390.3549899531,1145707.970529136,2085198.12583668,9.4171108784184,0
A1000,전국,202202,0,S,74161.49989170457,174237.77290448343,310375.63136235654,536212.3781676413,1179297.2926142516,15.901745438486788,0
11000,서울,202201,0,S,221653.58338914937,506687.87675820495,794955.1239115874,1146668.4527796383,2085870.8165997323,9.41049896286875,0
A1000,전국,202203,0,S,74266.03097249295,174539.48180636778,310352.5774312324,535219.8722113927,1177653.108078839,15.857224260645145,0
A1000,전국,202204,0,S,74444.07948884557,174857.88119991336,310615.3562919645,534340.7190816548,1176872.8876976392,15.80881778347434,0
A1000,전국,202206,0,D,48652.98278102664,121781.08728611653,214998.49469352394,338334.2213558588,660629.4455273987,13.578395563139583,0
A1000,전국,202205,1,D,73856.34285714285,163361.08571428573,263347.2428571429,381324.5,707076.4285714285,9.573672364729676,0
A1000,전국,202202,1,S,100174.78571428571,220603.2142857143,377474.64285714284,611253.2857142857,1261066.2857142857,12.58865967840496,0
A1000,전국,202201,0,S,74084.32965128872,174002.6635260992,310230.7970543643,536795.0292397661,1180533.1989387048,15.934991981373338,0
A1000,전국,202201,1,S,100065.92857142857,220285.2857142857,377541.71428571426,612332.7142857143,1262657.857142857,12.618259533179195,0
A1000,전국,202204,0,D,48445.62703053931,121277.87199480183,214815.39961013646,340744.89928525017,661909.2700888022,13.662931221254413,0
11000,서울,202204,0,D,150245.41192230408,293476.0884125921,456494.97655726725,634600.8037508372,1109309.5716198126,7.383317449942939,0
A1000,전국,202205,0,D,48545.099631795536,121549.81264890621,214941.74788823913,339652.7398743773,661604.2668399394,13.628651951650525,0
11000,서울,202107,1,D,242685.28846153847,417025.96153846156,543176.753121998,697770.6730769231,1176761.7675312199,4.848920900772758,0
11000,서울,202111,0,D,149884.79571332887,293718.6872069658,457144.3402545211,635313.4628265238,1107029.5180722892,7.385869345878182,0
A1000,전국,202111,0,D,48029.35596707819,119634.363222872,213061.7771280052,343378.29759584146,665040.4591726229,13.846541261733265,0
11000,서울,202111,1,S,445702.8846153846,741295.1923076923,973060.5187319885,1322532.6923076923,2257950.0480307397,5.066043155586076,0
11000,서울,202107,0,S,217516.6108506363,493410.2478231748,769426.6577361018,1109795.7133288682,2003166.6666666667,9.209258358857916,0
11000,서울,202108,1,D,244311.25,420137.5,546776.176753122,702966.8269230769,1186062.4399615754,4.854718888146065,0
A1000,전국,202112,0,S,73948.3310591293,173645.74323153563,309791.0851202079,537034.6761966645,1180873.2668399394,15.96889679492171,0
11000,서울,202107,0,D,147341.0582719357,288902.88010716677,446858.0040187542,618366.3764233087,1078996.9879518072,7.3231250040324,0
11000,서울,202109,0,S,219199.46416610852,500147.68921634293,782206.9658405894,1128954.454119223,2041377.5100401607,9.312876369502494,0
11000,서울,202110,0,S,220294.10582719356,503253.85130609514,788614.869390489,1137359.678499665,2061728.9156626507,9.35898356390862,0
A1000,전국,202110,0,D,47880.43578081005,118943.58782759367,211580.11154429283,341679.8570500325,661719.1899501841,13.820241590520231,0
A1000,전국,202112,1,D,72933.34285714285,161335.5,263888.28571428574,387521.28571428574,711945.1428571428,9.76158660726213,0
A1000,전국,202112,1,S,99802.34285714285,219781,377305.14285714284,612922.2857142857,1263108,12.656095677112647,0
11000,서울,202109,1,D,246494.90384615384,423409.6153846154,551280.4995196926,709085.5769230769,1192836.6954851104,4.839194145083023,0
A1000,전국,202107,0,S,71879.0159194282,166820.5879358891,294455.9985921594,511972.7778860732,1137654.6204245181,15.827353864996656,0
A1000,전국,202111,0,S,73705.36278969028,172893.88564002598,308417.21139267925,535879.5971410007,1178861.230236084,15.994239572496618,0
A1000,전국,202111,1,S,99357.97142857143,218564.14285714287,375715.85714285716,612065.2857142857,1261014.2857142857,12.691626726908675,0
11000,서울,202111,0,S,221169.05559276624,505553.24849296716,793106.4969859343,1143961.1520428667,2077183.4002677377,9.391835556292333,0
11000,서울,202108,1,S,437087.98076923075,725371.1538461539,950476.9452449568,1293025,2189420.749279539,5.009107652483098,0
A1000,전국,202107,1,S,95840.72857142857,208594.35714285713,355279.5,583855.5,1215071.7142857143,12.678030858041117,0
A1000,전국,202110,1,D,72224.32857142857,159210.07142857142,261171,385213.5714285714,706316.2857142857,9.779478739158531,0
11000,서울,202110,1,S,443709.1346153846,737307.6923076923,967458.2132564841,1314639.423076923,2239290.1056676274,5.046752322574306,0
11000,서울,202112,0,D,150150.43536503683,294195.4454119223,458211.65438714,637320.1607501674,1110226.907630522,7.394097159501431,0
11000,서울,202112,1,D,248423.46153846153,428795.1923076923,560154.6589817483,721396.1538461539,1210929.8751200768,4.874458586241854,0
11000,서울,202112,1,S,446752.4038461539,742601.9230769231,974935.6388088376,1325564.423076923,2266589.817483189,5.07348096612307,0
11000,서울,202109,0,D,148995.17749497655,291808.77427997324,452473.5432016075,627407.5686537174,1094099.06291834,7.343184399073777,0
A1000,전국,202109,0,D,47698.47303443795,118110.36495559887,209711.64175871777,338863.3636560537,656766.5150530648,13.769130818483102,0
A1000,전국,202109,1,D,71732.74285714286,157733.8142857143,258517.07142857142,381873,700758,9.769011640828694,0
A1000,전국,202107,0,D,47326.61024474767,116704.86679662118,205953.44379467185,332697.47671648255,646855.2090101797,13.667896468075654,0
A1000,전국,202107,1,D,70967.35714285714,155120.07142857142,253018,374623.21428571426,689768.3571428572,9.719515914258368,0
11000,서울,202111,1,D,248227.3076923077,427872.1153846154,558333.3333333334,719042.3076923077,1207221.9980787705,4.863373048283604,0
A1000,전국,202111,1,D,72611.14285714286,160419.2857142857,263061.4285714286,387175.28571428574,710045.1571428571,9.778735455793875,0
11000,서울,202108,0,S,218375.95445411923,496261.2190221031,775956.1286001339,1118381.1118553248,2020573.6278447122,9.252729463257982,0
A1000,전국,202108,0,D,47534.51397011046,117404.5040069309,207886.37643491445,336068.7026207494,652036.0623781676,13.717108010995245,0
11000,서울,202108,0,D,147921.29939718687,290365.03683858004,449192.23040857335,622283.6570663095,1087559.906291834,7.352287403665931,0
11000,서울,202109,1,S,440791.3461538461,731475,959675.3121998078,1304620.1923076923,2214692.60326609,5.024355905782943,0
A1000,전국,202108,0,S,72381.20608620316,168358.07829759584,298465.3222871995,519519.35715832794,1149885.383907299,15.88651869848412,0
11000,서울,202112,0,S,221686.40321500335,506671.13194909575,794642.330877428,1146591.426657736,2084541.499330656,9.403109388305408,0
A1000,전국,202109,0,S,72848.00671431665,169830.1797704137,301977.0485163526,526150.6389430366,1161498.483863981,15.944135416346462,0
11000,서울,202107,1,S,432997.5961538461,718053.8461538461,942205.5715658021,1282283.6538461538,2170100.864553314,5.011808111244726,0
A1000,전국,202108,1,D,71381.39285714286,156476.92857142858,255893.42857142858,378643.28571428574,695383.2142857143,9.741799458542367,0
A1000,전국,202108,1,S,96739.4857142857,211207,361278.21428571426,593163.7142857143,1228718.642857143,12.701314605765946,0
11000,서울,202110,1,D,247353.36538461538,425891.3461538461,555580.2113352546,714858.6538461539,1201230.5475504324,4.856333956413375,0
A1000,전국,202110,0,S,73290.4460688759,171558.0940004332,305699.16937405244,532428.947368421,1171956.0320554473,15.990570325552152,0
11000,서울,202110,0,D,149408.9752176825,292904.21969189553,455087.4079035499,632110.5157401206,1101653.9491298527,7.373412122831241,0
A1000,전국,202110,1,S,98571.4,216329,372201.35714285716,608278.4285714285,1253359,12.715239917460845,0
A1000,전국,202112,0,D,48159.377301277884,120155.75373619233,213930.38228286765,343839.3437296946,666579.5971410007,13.841117441593527,0
A1000,전국,202109,1,S,97629.7,213467,366681.4285714286,601158.5714285715,1241668.7142857143,12.718145341896106,0
A1000,전국,202106,1,S,88835.36940081442,186827.51599767306,302514.39790575916,486946.77137870854,1044687.8999418266,11.759819393875894,0
11000,서울,202106,1,D,201676.63043478262,335387.6811594203,436585.89511754067,559826.0869565217,950144.6654611211,4.711228382846148,0
11000,서울,202106,1,S,315208.3333333333,563974.6376811594,764146.4737793852,1044311.5942028986,1899603.9783001808,6.026503037568321,0
11000,서울,202101,0,D,114959.78152929494,201188.679245283,304685.2035749752,443247.2691161867,816339.2857142857,7.1010859176542525,0
A1000,전국,202102,0,D,42542.912552891394,91843.8645980254,154559.76727785612,246444.99294781382,507333.65655853314,11.925221526095365,0
A1000,전국,202104,0,D,42647.30253878702,92342.1191819464,156116.0084626234,249887.57052186178,511253.7023977433,11.987949341761215,0
A1000,전국,202106,1,D,66433.97324025596,138507.56253635834,213734.14776032578,313370.85514834203,571847.585805701,8.607758318739055,0
11000,서울,202101,0,S,163119.96027805362,299662.36345580936,519570.0099304866,804094.3396226416,1643670.634920635,10.076453133747952,0
11000,서울,202102,1,S,308703.8043478261,553000.9057971014,750335.623869801,1022094.2028985508,1840786.6184448462,5.962954108498045,0
A1000,전국,202102,1,D,65349.15648632926,134803.63583478768,205750.4363001745,302739.2379290285,562076.061663758,8.601121910140366,0
A1000,전국,202105,1,D,66039.79057591622,137260.61663757998,210904.74112856312,309672.62943571847,567067.0447934846,8.586748077912379,0
11000,서울,202102,1,D,198697.46376811594,331110.50724637683,430853.52622061485,550822.463768116,930354.4303797468,4.6822662591480775,0
11000,서울,202103,0,D,115527.9046673287,202341.41012909633,306969.21549155907,447945.18371400196,824984.126984127,7.140994458089852,0
A1000,전국,202103,1,D,65599.8254799302,135720.82606166377,207688.56893542758,305487.78359511343,564870.942408377,8.610860444761324,0
11000,서울,202104,0,D,115732.47269116186,202747.5670307845,307704.07149950345,448835.15392254223,826080.3571428572,7.137844184382854,0
11000,서울,202104,1,S,311259.96376811597,557275.3623188406,756221.6998191682,1031460.1449275363,1855394.2133815552,5.960915084998841,0
A1000,전국,202101,0,S,65288.557827926656,137164.58039492244,223036.9358251058,371619.35825105786,907341.5021156558,13.897404572896658,0
11000,서울,202105,1,D,200778.26086956522,334028.9855072464,434544.30379746837,555682.9710144928,936433.9963833635,4.664020857276546,0
11000,서울,202103,1,D,199498.91304347827,332440.2173913043,432979.746835443,553900.3623188406,934732.3688969258,4.685400810646084,0
A1000,전국,202103,0,S,65564.95063469675,138559.41466854725,227137.16502115657,381489.4217207334,923190.6911142454,14.08055191344407,0
11000,서울,202104,1,D,200138.40579710144,333393.115942029,433875.226039783,554900.3623188406,936021.6998191682,4.676871968132387,0
11000,서울,202106,0,S,165258.29195630585,304840.1191658391,532126.1171797419,823832.174776564,1700877.9761904762,10.292239838955778,0
A1000,전국,202106,0,S,66237.92313117067,141183.4449929478,234025.8286318759,396769.56981664314,945934.4146685472,14.280858607165527,0
A1000,전국,202101,1,D,65010.03490401396,133663.1762652705,203209.42408376964,298598.31297265855,557682.0826061664,8.578399987472288,0
A1000,전국,202105,1,S,87864.96509598604,183616.4485165794,295787.9581151832,477515.99767306575,1031531.4136125655,11.739962708523164,0
A1000,전국,202102,0,S,65423.519040902676,137866.44922425953,225214.2983074753,377020.226022567,916909.3088857546,14.014979969397617,0
