region_cd,region_nm,research_date,apt_type,buy_dom_indices,level_no
11000,서울,202306,7,94.30232558139535,0
11A01,강북지역,202306,7,94.50980392156863,1
11A02,강남지역,202306,7,94,1
11A11,도심권,202306,7,95.83333333333333,2
11A12,동북권,202306,7,94,2
11A13,서북권,202306,7,94.28571428571428,2
11A14,서남권,202306,7,91.42857142857143,2
11A15,동남권,202306,7,97.85714285714286,2
26000,부산,202306,7,91.8,0
26A01,동부산권,202306,7,89.33333333333333,1
26A02,중부산권,202306,7,90,1
26A03,서부산권,202306,7,97.14285714285715,1
27000,대구,202306,7,91.91489361702128,0
28000,인천,202306,7,98.68421052631578,0
29000,광주,202306,7,96.38888888888889,0
30000,대전,202306,7,86.57142857142857,0
31000,울산,202306,7,85.3125,0
36000,세종,202306,7,102.85714285714285,0
41000,경기,202306,7,92.79069767441861,0
41A01,서해안권,202306,7,93.33333333333333,1
41A02,경부1권,202306,7,94.375,1
41A03,경부2권,202306,7,93,1
41A04,경의권,202306,7,83.5294117647059,1
41A05,경원권,202306,7,95.625,1
41A06,동부1권,202306,7,96.25,1
41A07,동부2권,202306,7,93.5,1
42000,강원,202306,7,100.52631578947367,0
43000,충북,202306,7,95.27272727272727,0
44000,충남,202306,7,97.33333333333333,0
45000,전북,202306,7,86.94915254237287,0
46000,전남,202306,7,97.32394366197182,0
47000,경북,202306,7,98.8607594936709,0
48000,경남,202306,7,96.36363636363636,0
50000,제주,202306,7,92.56410256410255,0
A1000,전국,202306,7,94.50207468879667,0
A2000,수도권,202306,7,94.18972332015811,0
A2001,지방권,202306,7,94.61322081575246,0
A3000,6대광역시,202306,7,91.9747899159664,0
A5000,5대광역시,202306,7,90.69999999999999,0
A6000,8개도,202306,7,95.95573440643862,0
A9000,9개도,202306,7,95.3035143769968,0
11000,서울,202305,0,82.91503267973857,0
11A01,강북지역,202305,0,84.19870194707937,1
11A02,강남지역,202305,0,81.50384193194292,1
11A11,도심권,202305,0,83.41346153846153,2
11A12,동북권,202305,0,86.42948444823178,2
11A13,서북권,202305,0,79.61352657004831,2
11A14,서남권,202305,0,78.34046600095103,2
11A15,동남권,202305,0,85.82089552238807,2
26000,부산,202305,0,83.46275524877768,0
26A01,동부산권,202305,0,81.76305970149254,1
26A02,중부산권,202305,0,87.03573931324458,1
26A03,서부산권,202305,0,80.11247443762781,1
27000,대구,202305,0,81.05053191489361,0
28000,인천,202305,0,84.70965309200604,0
29000,광주,202305,0,88.41970569417785,0
30000,대전,202305,0,79.33911882510014,0
31000,울산,202305,0,77.50391236306729,0
36000,세종,202305,0,99.3069306930693,0
41000,경기,202305,0,84.42271189238261,0
41A01,서해안권,202305,0,88.44189016602812,1
41A02,경부1권,202305,0,86.90601900739176,1
41A03,경부2권,202305,0,89.46015424164524,1
41A04,경의권,202305,0,71.02751263335206,1
41A05,경원권,202305,0,83.30097087378641,1
41A06,동부1권,202305,0,83.6734693877551,1
41A07,동부2권,202305,0,78.76190476190477,1
42000,강원,202305,0,88.69479235332895,0
43000,충북,202305,0,90.66037735849056,0
44000,충남,202305,0,93.54262378764675,0
45000,전북,202305,0,81.57099697885198,0
46000,전남,202305,0,89.13183279742765,0
47000,경북,202305,0,92.90421792618629,0
48000,경남,202305,0,90.5452253387961,0
50000,제주,202305,0,83.93782383419689,0
A1000,전국,202305,0,85.49894291754758,0
