region_cd,region_nm,research_date,tr_gbn,indices,level_no
41430,의왕시,20230731,D,84.9717121932716,2
41450,하남시,20230731,D,80.9550011883154,2
41460,용인시,20230731,D,81.12957275625,2
41461,처인구,20230731,D,91.5683472502654,3
41463,기흥구,20230731,D,77.5718605845877,3
41465,수지구,20230731,D,81.1812003310846,3
41480,파주시,20230731,D,87.2473619621243,2
41500,이천시,20230731,D,106.794598938159,2
41550,안성시,20230731,D,99.7729198739799,2
41570,김포시,20230731,D,82.2368574552677,2
41590,화성시,20230731,D,78.6031332606076,2
41610,광주시,20230731,D,80.3664844059378,2
41630,양주시,20230731,D,69.9354028129463,2
41650,포천시,20230731,D,94.2555860801386,2
41670,여주시,20230731,D,94.3456042044016,2
41A01,서해안권,20230731,D,83.6274977502376,1
41A02,경부1권,20230731,D,85.2234541101668,1
41A03,경부2권,20230731,D,81.4888101299699,1
41A04,경의권,20230731,D,81.0508767226302,1
41A05,경원권,20230731,D,77.7346665969844,1
41A06,동부1권,20230731,D,81.4520488748079,1
41A07,동부2권,20230731,D,103.098979318633,1
42000,강원,20230731,D,98.7693089493602,0
42110,춘천시,20230731,D,96.2788275106729,1
42130,원주시,20230731,D,94.2919468913055,1
42150,강릉시,20230731,D,105.983015048435,1
42170,동해시,20230731,D,101.170342090127,1
42190,태백시,20230731,D,100.231330533343,1
42210,속초시,20230731,D,106.801170780778,1
42230,삼척시,20230731,D,101.09297951866,1
43000,충북,20230731,D,100.085005631689,0
43110,청주시,20230731,D,96.9684022836579,1
43111,상당구,20230731,D,97.1698641062433,2
43112,서원구,20230731,D,97.5240068990894,2
43113,흥덕구,20230731,D,96.432136444444,2
43114,청원구,20230731,D,97.0261393769221,2
43130,충주시,20230731,D,106.903126708923,1
43150,제천시,20230731,D,111.952024874211,1
43770,음성군,20230731,D,100.675581760664,1
44000,충남,20230731,D,94.9330988044685,0
44130,천안시,20230731,D,94.6075849243015,1
44131,동남구,20230731,D,96.3864130277304,2
44133,서북구,20230731,D,93.6410908324995,2
44150,공주시,20230731,D,97.3605695125641,1
44180,보령시,20230731,D,102.276218968959,1
44200,아산시,20230731,D,95.9088885616379,1
44210,서산시,20230731,D,96.5887272009509,1
44230,논산시,20230731,D,101.533331090748,1
44250,계룡시,20230731,D,83.3302105566434,1
44270,당진시,20230731,D,90.0785133107471,1
44800,홍성군,20230731,D,91.2903600803595,1
44810,예산군,20230731,D,98.3219481626247,1
45000,전북,20230731,D,98.234830901384,0
45110,전주시,20230731,D,97.3782705461709,1
45111,완산구,20230731,D,98.4751699475282,2
45113,덕진구,20230731,D,96.2135302118719,2
45130,군산시,20230731,D,99.6958422450455,1
45140,익산시,20230731,D,98.3168641222949,1
45180,정읍시,20230731,D,98.0599581019143,1
45190,남원시,20230731,D,99.6129580924526,1
45210,김제시,20230731,D,102.748072448934,1
46000,전남,20230731,D,93.3632838129366,0
46110,목포시,20230731,D,96.1628541165077,1
46130,여수시,20230731,D,92.1306964351734,1
46150,순천시,20230731,D,92.2330130999173,1
46170,나주시,20230731,D,93.3019621340888,1
46230,광양시,20230731,D,92.2864900871651,1
46840,무안군,20230731,D,95.7658730915911,1
47000,경북,20230731,D,98.3525775325292,0
47110,포항시,20230731,D,98.7177546454558,1
47111,남구,20230731,D,98.9110333247939,2
47113,북구,20230731,D,98.679939759152,2
47130,경주시,20230731,D,99.2386764305547,1
47150,김천시,20230731,D,103.768838965361,1
47170,안동시,20230731,D,106.16681543152,1
47190,구미시,20230731,D,96.984673812388,1
47210,영주시,20230731,D,106.282009189701,1
47230,영천시,20230731,D,100.226298142399,1
47250,상주시,20230731,D,100.109101648305,1
47280,문경시,20230731,D,103.241125428072,1
47290,경산시,20230731,D,89.6449562860749,1
47850,칠곡군,20230731,D,102.480807387034,1
48000,경남,20230731,D,95.9487317113508,0
48120,창원시,20230731,D,101.285298445578,1
48121,의창구,20230731,D,99.2793095675877,2
48123,성산구,20230731,D,101.219142159388,2
48125,마산합포구,20230731,D,105.749012743469,2
48127,마산회원구,20230731,D,101.118308008549,2
48129,진해구,20230731,D,99.0713434436987,2
48170,진주시,20230731,D,100.16489130109,1
48220,통영시,20230731,D,100.191009420981,1
48240,사천시,20230731,D,100.678108534751,1
48250,김해시,20230731,D,92.9283984184738,1
48270,밀양시,20230731,D,103.853707332828,1
48310,거제시,20230731,D,89.2755838093226,1
48330,양산시,20230731,D,86.6953260325848,1
50000,제주,20230731,D,101.387485198315,0
50110,제주시,20230731,D,101.895294998111,1
50130,서귀포시,20230731,D,99.8738073983379,1
A1000,전국,20230731,D,87.0231442383535,0
A2000,수도권,20230731,D,82.9134491940873,0
A2001,지방권,20230731,D,91.1220456983382,0
A3000,6대광역시,20230731,D,84.481586864742,0
A5000,5대광역시,20230731,D,85.3295499348765,0
A6000,8개도,20230731,D,97.0937238063675,0
A9000,9개도,20230731,D,89.5751668207468,0
11000,서울,20230731,S,93.1422084205971,0
11110,종로구,20230731,S,91.8764404134357,3
11140,중구,20230731,S,89.4243659421838,3
11170,용산구,20230731,S,97.2780209769891,3
11200,성동구,20230731,S,94.9663561918186,3
11215,광진구,20230731,S,92.3742679141466,3
11230,동대문구,20230731,S,89.4025171433155,3
11260,중랑구,20230731,S,91.8433099271518,3
11290,성북구,20230731,S,89.2769376390567,3
11305,강북구,20230731,S,87.1118249876702,3
11320,도봉구,20230731,S,85.3462743018846,3
11350,노원구,20230731,S,89.423873476458,3
11380,은평구,20230731,S,89.8300244444606,3
11410,서대문구,20230731,S,89.073845940421,3
11440,마포구,20230731,S,93.7645070598986,3
11470,양천구,20230731,S,94.8713089369762,3
11500,강서구,20230731,S,90.2869758126964,3
11530,구로구,20230731,S,92.9143861593529,3
11545,금천구,20230731,S,89.3489914510667,3
11560,영등포구,20230731,S,92.564092295773,3
11590,동작구,20230731,S,96.1789256030467,3
11620,관악구,20230731,S,91.4104421036114,3
11650,서초구,20230731,S,102.801520123483,3
11680,강남구,20230731,S,100.081997479167,3
11710,송파구,20230731,S,97.5595456900017,3
11740,강동구,20230731,S,94.1941928381771,3
11A01,강북지역,20230731,S,90.4288757099159,1
11A02,강남지역,20230731,S,95.5566468048233,1
11A11,도심권,20230731,S,93.7729015161886,2
11A12,동북권,20230731,S,89.7895531562256,2
11A13,서북권,20230731,S,91.0639240428221,2
11A14,서남권,20230731,S,92.74508972629,2
11A15,동남권,20230731,S,98.8342535325988,2
26000,부산,20230731,S,91.1760606547516,0
26110,중구,20230731,S,96.1802288811989,2
26140,서구,20230731,S,93.2890624207287,2
26170,동구,20230731,S,92.281215527095,2
26200,영도구,20230731,S,91.7751877524281,2
26230,부산진구,20230731,S,88.4356407394191,2
26260,동래구,20230731,S,89.257826647414,2
26290,남구,20230731,S,88.7380782993353,2
26320,북구,20230731,S,93.7947014679731,2
26350,해운대구,20230731,S,87.9192133048916,2
26380,사하구,20230731,S,97.7282695272279,2
26410,금정구,20230731,S,90.4660574034155,2
26440,강서구,20230731,S,90.3759285865481,2
26470,연제구,20230731,S,89.9387979196155,2
26500,수영구,20230731,S,89.2298676725037,2
26530,사상구,20230731,S,95.3163824139161,2
26710,기장군,20230731,S,93.9927430167477,2
26A01,동부산권,20230731,S,89.6029116523079,1
26A02,중부산권,20230731,S,89.6351449492869,1
26A03,서부산권,20230731,S,94.9937141220284,1
27000,대구,20230731,S,80.8068900314793,0
27110,중구,20230731,S,82.9704387838984,1
27140,동구,20230731,S,81.8538539009868,1
27170,서구,20230731,S,82.6204765738811,1
27200,남구,20230731,S,83.5950916687666,1
27230,북구,20230731,S,86.7045574856804,1
27260,수성구,20230731,S,78.3953682508781,1
27290,달서구,20230731,S,76.7560376950989,1
27710,달성군,20230731,S,81.6761714104043,1
28000,인천,20230731,S,91.3313604620758,0
28110,중구,20230731,S,91.3878176037497,1
28140,동구,20230731,S,93.4245308710672,1
28177,미추홀구,20230731,S,93.8048321203443,1
28185,연수구,20230731,S,91.7829658359551,1
28200,남동구,20230731,S,89.7207189234877,1
28237,부평구,20230731,S,90.5877068513378,1
28245,계양구,20230731,S,93.9901506215974,1
28260,서구,20230731,S,89.9045202148736,1
29000,광주,20230731,S,96.041538049145,0
29110,동구,20230731,S,90.8425895772339,1
29140,서구,20230731,S,96.2699939019244,1
29155,남구,20230731,S,95.1129027245391,1
29170,북구,20230731,S,98.3065685784214,1
