region_cd,region_nm,research_date,apt_type,rate,level_no
28000,인천,202303,0,6.564399476813605,0
47000,경북,202303,0,7.630077142971173,0
A1000,전국,202303,35,5.590567515950999,0
11A12,동북권,202303,35,4.847301445413811,1
11A13,서북권,202303,35,4.825089160874725,1
11A15,동남권,202303,7,5.199807414540202,1
29000,광주,202303,7,7.2827586206896555,0
36000,세종,202303,7,9.473684210526317,0
42000,강원,202303,7,8.27162306612548,0
50000,제주,202303,7,6.069664031620553,0
A2000,수도권,202302,7,6.422599057176525,0
11A02,강남지역,202302,7,5.374671760683565,1
A5000,5대광역시,202302,1,5.076923076923077,0
11260,중랑구,202302,1,4.571428571428571,1
11290,성북구,202302,1,4.725056673313314,1
11710,송파구,202302,1,4.5074391078716936,1
28140,동구,202302,1,5.339318699855712,1
28177,미추홀구,202302,1,5.584549904071298,1
28237,부평구,202302,1,4.906794948887552,1
30140,중구,202302,1,5.0625,1
30200,유성구,202302,1,5.142857142857142,1
31000,울산,202302,1,5.04,0
41190,부천시,202302,1,4.778133058277462,1
41273,단원구,202302,1,5.379310344827586,2
41390,시흥시,202302,1,5.8214076574604245,1
42210,속초시,202302,1,6.277185501066098,1
43110,청주시,202302,1,5.684210526315789,1
44130,천안시,202302,1,6.23111111111111,1
46230,광양시,202302,1,8,1
11A01,강북지역,202302,35,4.762572935645668,1
11A11,도심권,202302,35,5.1927625730195475,1
11A12,동북권,202302,35,4.783819305846274,1
50000,제주,202302,35,5.9493517058152445,0
36000,세종,202302,0,5.854603534329824,0
46000,전남,202302,0,6.392753973753681,0
47000,경북,202305,7,9.190820771639697,0
A2000,수도권,202305,7,6.528189910979229,0
11A11,도심권,202305,7,6.1715731758751575,1
26000,부산,202305,7,7.208382877337566,0
28000,인천,202305,7,8.833333333333334,0
47110,포항시,202305,1,5.808373020741957,1
48120,창원시,202305,1,5.011761861613364,1
48123,성산구,202305,1,4.758620689655172,2
48330,양산시,202305,1,5.571428571428572,1
A1000,전국,202305,1,5.428571428571429,0
11A14,서남권,202305,1,4.800000000000001,1
26200,영도구,202305,1,5.583801122694467,1
26710,기장군,202305,1,5.109751181794862,1
27290,달서구,202305,1,5.217391304347826,1
28185,연수구,202305,1,6.16935123942578,1
28260,서구,202305,1,6.045879184453807,1
29140,서구,202305,1,5.032258064516128,1
30110,동구,202305,1,5.142857142857142,1
30230,대덕구,202305,1,5.250000000000001,1
31000,울산,202305,1,5.333827370917242,0
41110,수원시,202305,1,5.319702643538942,1
41115,팔달구,202305,1,5.247961596837386,2
41117,영통구,202305,1,5.333333333333334,2
41170,안양시,202305,1,4.800000000000001,1
41173,동안구,202305,1,4.816053511705685,2
41195,원미구,202305,1,,2
41273,단원구,202305,1,5.665874835260415,2
41370,오산시,202305,1,5.979367508274779,1
41610,광주시,202305,1,5.682441472772469,1
41650,포천시,202305,1,6.260869565217392,1
43110,청주시,202305,1,5.792648418464353,1
