region_cd,region_nm,research_date,age_gbn,tr_gbn,indices,level_no
11A13,서북권,20230731,12,D,85.0878131110428,2
11000,서울,20230731,12,D,85.7499581296605,0
41A01,서해안권,20230731,12,D,86.0477241869549,1
36000,세종,20230731,12,D,71.5470907930766,0
A2000,수도권,20230731,12,D,83.1471131523005,0
31000,울산,20230731,12,D,79.2073463333864,0
28000,인천,20230731,12,D,77.7381360319689,0
A1000,전국,20230731,12,D,84.2217764285239,0
46000,전남,20230731,12,D,84.8850440630573,0
45000,전북,20230731,12,D,89.8309399536068,0
50000,제주,20230731,12,D,102.763754446821,0
26A02,중부산권,20230731,12,D,83.8898046547842,1
A2001,지방권,20230731,12,D,85.3250424308753,0
44000,충남,20230731,12,D,89.1874167302426,0
43000,충북,20230731,12,D,92.05679455708,0
A5000,5대광역시,20230731,12,S,86.8772441006442,0
A3000,6대광역시,20230731,12,S,88.0759184428713,0
A6000,8개도,20230731,12,S,93.6909845689608,0
A9000,9개도,20230731,12,S,92.5299223994329,0
11A02,강남지역,20230731,12,S,96.1204019661638,1
11A01,강북지역,20230731,12,S,91.3443528437627,1
42000,강원,20230731,12,S,97.4708910384291,0
41000,경기,20230731,12,S,91.4578086737799,0
48000,경남,20230731,12,S,93.5717938618535,0
41A02,경부1권,20230731,12,S,93.4104228919272,1
41A03,경부2권,20230731,12,S,92.431968971259,1
47000,경북,20230731,12,S,95.2191173708096,0
41A05,경원권,20230731,12,S,90.6565812728249,1
41A04,경의권,20230731,12,S,87.4026471857851,1
29000,광주,20230731,12,S,94.2585474150906,0
27000,대구,20230731,12,S,80.0245730443946,0
30000,대전,20230731,12,S,83.4738783398001,0
11A11,도심권,20230731,12,S,93.1948395643194,2
11A15,동남권,20230731,12,S,98.5111100787874,2
41A06,동부1권,20230731,12,S,89.2714406205725,1
41A07,동부2권,20230731,12,S,98.1618936366733,1
26A01,동부산권,20230731,12,S,90.0743849596197,1
11A12,동북권,20230731,12,S,90.839599059226,2
26000,부산,20230731,12,S,90.2576613742217,0
11A14,서남권,20230731,12,S,93.9334266305041,2
26A03,서부산권,20230731,12,S,91.0772883417958,1
11A13,서북권,20230731,12,S,91.3284924658884,2
11000,서울,20230731,12,S,93.6913830667429,0
41A01,서해안권,20230731,12,S,95.7814263909191,1
36000,세종,20230731,12,S,75.2352540225912,0
A2000,수도권,20230731,12,S,92.1232515272364,0
31000,울산,20230731,12,S,85.3490913232268,0
28000,인천,20230731,12,S,92.0991083469521,0
A1000,전국,20230731,12,S,90.7295136331117,0
46000,전남,20230731,12,S,89.5217986854786,0
45000,전북,20230731,12,S,92.7987888822762,0
50000,제주,20230731,12,S,100.424595161587,0
