region_cd,region_nm,research_date,apt_type,contract_type,indices,level_no
11A12,동북권,202301,1,1,117.43381502275172,1
11A12,동북권,202303,1,1,116.3652578664957,1
11A13,서북권,202303,1,1,113.27834417096885,1
11A13,서북권,202304,1,1,115.32752847145612,1
45000,전북,202302,1,1,103.80128065946283,0
11A14,서남권,202302,1,1,113.13074432134098,1
46000,전남,202304,1,1,105.4885791063516,0
26000,부산,202302,1,1,100.5300572936686,0
26000,부산,202303,1,1,100.28564141626197,0
48000,경남,202304,1,1,119.14461040133523,0
A2001,지방,202304,1,1,109.4572528735981,0
A3000,6대광역시,202302,3,0,111.31353903665146,0
11000,서울,202302,3,0,133.9619095436589,0
11000,서울,202305,3,0,134.2380669499924,0
A5000,5대광역시,202303,3,0,109.14295495668465,0
A2000,수도권,202304,3,0,121.8856921346096,0
A2000,수도권,202301,0,0,127.17032318577577,0
A2000,수도권,202304,0,0,131.29668331963197,0
A6000,8개도,202301,3,0,95.4976921151031,0
11000,서울,202301,0,0,140.24278938419724,0
A1000,전국,202304,0,0,119.3208499047556,0
A1000,전국,202305,0,0,119.98164196172098,0
11A13,서북권,202301,1,0,138.42267699187465,1
11A15,동남권,202302,1,0,142.7292689150117,1
26000,부산,202305,1,0,106.51134505419593,0
29000,광주,202305,1,0,127.40221776152008,0
42000,강원,202304,1,0,110.48882413983254,0
44000,충남,202302,1,0,102.88634817477502,0
44000,충남,202304,1,0,104.20366347773337,0
27000,대구,202303,1,0,102.09588594317384,0
A5000,5대광역시,202303,1,0,110.11677634724595,0
A6000,8개도,202301,1,0,102.70396263380799,0
28000,인천,202301,1,1,105.39813234164062,0
28000,인천,202303,1,1,104.49497229091796,0
28000,인천,202304,1,1,104.64406833441527,0
50000,제주,202301,1,1,114.55103683630709,0
A1000,전국,202303,1,1,110.86087893827224,0
A2000,수도권,202302,1,1,111.46532193673731,0
50000,제주,202304,1,0,107.10658706503173,0
46000,전남,202301,1,0,106.32473334017278,0
46000,전남,202303,1,0,106.27619952827902,0
11000,서울,202304,1,1,114.69806114453728,0
11A11,도심권,202304,1,1,119.4524923717271,1
11A12,동북권,202304,1,1,116.67746439466066,1
11A15,동남권,202302,1,1,109.39825484036646,1
11A13,서북권,202302,1,1,112.68929336408853,1
45000,전북,202304,1,1,104.1593567584694,0
46000,전남,202302,1,1,105.31721818382093,0
47000,경북,202302,1,1,118.47819882583369,0
27000,대구,202301,1,1,94.3533437452259,0
48000,경남,202303,1,1,121.03850583654018,0
A2001,지방,202303,1,1,109.6865077307021,0
A3000,6대광역시,202305,3,0,113.24818648561975,0
A1000,전국,202304,3,0,117.17446539897263,0
A5000,5대광역시,202304,3,0,108.97855696483667,0
A2000,수도권,202302,3,0,122.43526660990074,0
28000,인천,202302,3,0,113.16193911280621,0
28000,인천,202303,3,0,112.12157725655713,0
A2000,수도권,202303,0,0,129.91657302153646,0
A6000,8개도,202301,0,0,101.92312408463336,0
A2001,지방,202305,0,0,106.78819895090498,0
A6000,8개도,202303,3,0,96.85817648255383,0
A2001,지방,202304,3,0,101.96139071458208,0
A3000,6대광역시,202304,0,0,111.84291006302627,0
41000,경기,202303,0,0,126.75050048998415,0
41000,경기,202305,0,0,128.63128910362286,0
A1000,전국,202303,1,0,118.85737261268375,0
A1000,전국,202304,1,0,119.76720660217349,0
11000,서울,202304,1,0,150.67190032327312,0
11000,서울,202305,1,0,152.8249179874902,0
28000,인천,202301,1,0,114.61386178528493,0
11A14,서남권,202305,1,0,151.49615455480586,1
30000,대전,202303,1,0,133.85240934515411,0
30000,대전,202304,1,0,134.9585815673331,0
31000,울산,202303,1,0,96.36800777945595,0
29000,광주,202303,1,0,126.20972708699374,0
36000,세종,202305,1,0,128.17203514565497,0
42000,강원,202305,1,0,111.37925375116262,0
27000,대구,202301,1,0,101.37142298880495,0
27000,대구,202302,1,0,101.37621581492782,0
47000,경북,202305,1,0,99.89725073799114,0
A3000,6대광역시,202302,1,0,110.44020176029481,0
50000,제주,202303,1,1,118.53465752021495,0
A3000,6대광역시,202304,1,1,104.0158050416577,0
30000,대전,202302,1,1,121.43249161822968,0
A1000,전국,202303,1,0,109.7216212244881,0
A1000,전국,202303,1,1,116.28397542952138,0
A1000,전국,202305,3,0,119.79783970403723,0
11000,서울,202302,1,0,120.29587371097657,0
A1000,전국,202301,1,0,109.22971829240807,0
A1000,전국,202304,1,0,110.08595403908632,0
A2001,지방,202304,1,1,118.68060270056394,0
A2000,수도권,202302,1,1,113.85752776816395,0
A2000,수도권,202303,1,1,114.55900227476677,0
A2000,수도권,202301,1,0,118.84503191407592,0
A2001,지방,202302,1,0,104.62177148414642,0
A2001,지방,202303,1,0,105.18281035110557,0
A2001,지방,202302,1,1,116.79656865416953,0
A2001,지방,202303,1,1,117.99883693772712,0
11000,서울,202303,1,1,112.831384551282,0
A1000,전국,202302,3,0,120.22174864899522,0
A1000,전국,202303,3,0,119.48418280288647,0
A1000,전국,202304,3,0,119.7752631030778,0
11000,서울,202301,1,1,113.91281237690802,0
11000,서울,202302,1,1,112.61086201786168,0
A1000,전국,202301,3,0,119.72156769721028,0
11000,서울,202305,1,0,122.05786840276079,0
A2000,수도권,202301,1,1,115.4602392475034,0
A2000,수도권,202302,1,0,119.37401318108616,0
A2000,수도권,202303,1,0,119.1653220425321,0
A1000,전국,202305,1,0,109.71022101206694,0
A1000,전국,202302,1,1,115.40794173107906,0
A2001,지방,202305,1,0,104.1141406508104,0
11000,서울,202301,1,0,120.49137636200804,0
A2000,수도권,202304,1,1,113.88879102393466,0
A2000,수도권,202305,1,0,121.10021147479932,0
A2001,지방,202301,1,0,104.49221979376098,0
A2001,지방,202304,1,0,104.98447676514986,0
11000,서울,202303,1,0,119.73678949475888,0
11000,서울,202304,1,0,120.38665834971309,0
A2000,수도권,202304,1,0,120.48457306682275,0
A1000,전국,202302,1,0,109.41671818084461,0
A1000,전국,202301,1,1,117.0916067475953,0
A1000,전국,202304,1,1,116.04981579812146,0
11000,서울,202304,1,1,112.142579731908,0
A2001,지방,202301,1,1,118.64787002159572,0
A2000,수도권,202303,1,1,110.53922292317242,0
11000,서울,202302,1,1,112.07174452958765,0
A1000,전국,202305,1,0,112.72734500616137,0
A1000,전국,202304,3,0,108.65028282182159,0
A2001,지방,202304,1,1,109.50523271928215,0
11000,서울,202303,1,0,149.65569432215707,0
A2000,수도권,202302,1,0,127.91888535988329,0
A1000,전국,202303,1,1,110.39555793154575,0
11000,서울,202303,1,1,112.60174502898975,0
A2000,수도권,202305,1,0,131.9725685524853,0
A2001,지방,202302,1,0,102.85344465091757,0
A2001,지방,202305,1,0,103.22132531535888,0
11000,서울,202304,1,1,114.96758595103088,0
11000,서울,202305,1,0,154.2926684547146,0
A2000,수도권,202304,1,0,130.30986010654345,0
A2001,지방,202301,1,0,102.98104705063609,0
A1000,전국,202303,3,0,108.21171716478419,0
A1000,전국,202305,3,0,107.72578502704138,0
11000,서울,202302,1,0,147.5853580841651,0
A2001,지방,202303,1,0,103.08612508260589,0
A1000,전국,202303,1,0,111.70723130690006,0
A1000,전국,202302,3,0,107.2932708182814,0
A2001,지방,202301,1,1,110.82585802275649,0
A2001,지방,202303,1,1,109.97691771800281,0
A2000,수도권,202301,1,1,110.93756451941857,0
A2000,수도권,202302,1,1,110.13679796506568,0
A2000,수도권,202301,1,0,126.04912558407177,0
A2000,수도권,202303,1,0,129.1407945807225,0
A1000,전국,202302,1,0,111.02059925007217,0
A1000,전국,202304,1,0,111.91210076008562,0
A1000,전국,202301,3,0,107.29235061003348,0
A1000,전국,202301,1,1,110.91413345458291,0
A1000,전국,202301,1,0,110.69201990413362,0
A2001,지방,202302,1,1,110.13938638378941,0
11000,서울,202301,1,0,144.3508749794641,0
11000,서울,202304,1,0,152.0150973439609,0
A2000,수도권,202304,1,1,112.1414608570111,0
A2001,지방,202304,1,0,102.8626524880984,0
A1000,전국,202302,1,1,110.15851976699683,0
A1000,전국,202304,1,1,111.36237693679016,0
11000,서울,202301,1,1,112.51426821110275,0
11000,서울,202302,1,1,111.50784930027255,0
