region_cd,region_nm,research_date,deal_obj,all_area,age01_area,age02_area,age04_area,age05_area,age06_area,age07_area
48740,창녕군,202306,06,3267.1856,71.065,329.265,1187.846,583.2187,188.79,0
41550,안성시,202306,06,17849.5727,468.812,2750.6615,4141.7393,4468.0539,1386.4731,683.3243
41273,단원구,202306,06,28231.1389,2043.4046,8081.4583,5152.432,4302.4469,868.9269,870.47
41290,과천시,202306,06,7283.089,128.02,1907.4284,1878.4013,720.7898,367.2066,0
41271,상록구,202306,06,31979.56,1231.953,5315.7963,7465.2538,5583.8971,1904.3064,4816.7401
44800,홍성군,202306,06,4861.8774,84.97,502.0284,1566.4814,981.071,531.92,375.7894
44770,서천군,202306,06,3795.0659,0,310.1123,930.1391,1382.7517,563.821,0
45000,전북,202306,06,191617.4009,6998.6575,34074.1564,50210.5587,33644.2206,14971.3129,6225.4889
28245,계양구,202306,06,18472.9357,953.3458,4043.8801,5110.4309,3248.0207,1118.6963,127.5225
28720,옹진군,202306,06,1654.995,0,58.5,423.01,573.865,43.58,0
51760,평창군,202306,06,5891.6999,76.73,512.6521,1914.1611,1725.3055,315.269,560.1947
51750,영월군,202306,06,3499.0991,0,386.5682,1086.6612,1224.845,59.97,0
51800,양구군,202306,06,620.6,0,77.16,121.96,421.48,0,0
11350,노원구,202306,06,20311.1814,1107.002,4827.9197,4611.8423,1934.3566,679.1622,862.76
11110,종로구,202306,06,8877.3691,56.71,1107.9873,2296.7438,756.3929,974.91,1664.13
11500,강서구,202306,06,24916.2119,957.87,6926.5335,5185.0544,3428.294,1228.7672,245.95
41171,만안구,202306,06,12745.12025,802.2974,4133.0708,2183.5157,1738.4891,702.1495,530.78
41150,의정부시,202306,06,30512.4875,1722.0296,7028.5825,7856.167,4472.9772,2148.376,514.365
43800,단양군,202306,06,3096.33,0,205.885,1230.395,721.595,50.4,176.42
46110,목포시,202306,06,24129.0172,886.1169,2994.7213,5510.1635,4080.2238,2069.1997,3129.2918
44150,공주시,202306,06,7047.0027,373.876,887.0525,1584.1617,1630.2566,593.151,511.71
47190,구미시,202306,06,51959.7076,1762.0827,13012.2741,12052.8258,7428.8517,2416.5903,731.605
46820,해남군,202306,06,3507.163,228.95,529.5247,861.3369,727.53,545.7589,0
46730,구례군,202306,06,1243.7189,0,96.54,387.35,379.996,158.1429,59.36
46860,함평군,202306,06,845.02,0,129.64,294.8,292.58,128,0
30000,대전,202306,06,138267.1214,4525.2464,28325.5605,31551.7042,19735.8965,8646.0889,13455.2054
26470,연제구,202306,06,15874.3973,561.7118,5523.2817,2465.9599,1894.0442,1042.7418,713.355
27110,중구,202306,06,9789.3398,705.8616,3111.8333,1966.9483,538.4281,810.7553,62.79
47840,성주군,202306,06,2238.3295,0,0,1521.5325,445.7125,69.45,69.8745
47900,예천군,202306,06,5125.0278,84.9868,1139.2222,1534.9723,1109.3115,346.3952,70.877
48720,의령군,202306,06,927.6024,36.03,82.08,173.4724,412.57,0,0
41630,양주시,202306,06,20945.8162,616.7116,3861.1031,5851.9164,4059.0838,1071.2336,56.92
41820,가평군,202306,06,7745.5706,59.21,1003.4192,3147.5208,1082.16,395.44,967.2782
41570,김포시,202306,06,45971.9554,1462.6569,11619.8918,9476.2093,7056.8147,2469.0172,562.901
41430,의왕시,202306,06,11582.2794,309.1751,3169.2236,3148.405,1095.971,915.1072,0
44210,서산시,202306,06,16574.7487,714.655,3039.6451,4617.326,3775.2788,1074.7431,410.9142
44180,보령시,202306,06,9002.6442,358.8301,1333.2917,1837.4665,1915.176,698.4838,78.88
28710,강화군,202306,06,5951.9802,0,472.2242,1522.75,2239.82,785.916,184.52
50130,서귀포시,202306,06,17921.1588,356.0093,3056.572,4795.4455,2166.8741,466.1868,1956.2551
51170,동해시,202306,06,15240.6003,364.5853,1695.3044,4096.5811,3847.695,1071.6269,320.9284
11440,마포구,202306,06,20297.8235,273.83,6063.5975,4016.9426,2018.6084,697.7679,2067.13
11320,도봉구,202306,06,11427.4493,348.64,2262.205,2781.733,1823.8997,1064.155,46.15
26230,부산진구,202306,06,21395.4937,1426.2705,4545.2727,4146.5656,3666.7659,1453.107,741.9
11650,서초구,202306,06,22275.0635,488.1,4647.6303,4269.5718,2858.264,954.526,2173.5295
11710,송파구,202306,06,28309.482,547.3,7955.3515,5367.8492,2905.6776,2300.518,810.39
41135,분당구,202306,06,38210.7656,597.9309,10916.4601,7570.3799,3297.2833,1046.5482,84.82
41117,영통구,202306,06,42525.9099,1592.2139,14585.7178,7152.5017,3884.6692,1495.148,178.58
43730,옥천군,202306,06,3397.0788,84.7493,308.0714,1519.3022,854.7036,110.1,0
45730,무주군,202306,06,1746.5882,58.75,213.713,664.21,330.14,288.1752,0
45740,장수군,202306,06,637.8635,84.8635,0,172.12,319.18,61.7,0
47111,남구,202306,06,30522.6629,1384.8616,5268.5344,6668.4802,5164.1203,1632.5501,4180.1512
47150,김천시,202306,06,12242.843,633.0675,2940.8181,2470.0703,2360.753,650.4316,265.892
46790,화순군,202306,06,3892.6913,153.8214,445.4762,1088.177,614.9507,183.8625,363.72
31110,중구,202306,06,19390.2914,633.8367,6232.4484,3114.7928,2383.1725,627.9195,478.2448
31140,남구,202306,06,35107.8647,1692.5562,11219.2973,6456.5401,3677.564,1277.8813,1238.8823
26710,기장군,202306,06,11057.7521,377.8834,2989.6249,2501.1237,1886.4722,634.5948,162.82
26440,강서구,202306,06,14040.5315,254.8058,5154.048,1741.4021,1509.7318,246.2157,0
48125,마산합포구,202306,06,15555.6533,626.3129,3251.4403,3511.944,2824.418,975.4224,210.035
